 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
323,JKR,323,247,261,276,256,268.5,224.5,295.5,223.5,309.5,228,281,231.5,-1,-1,-1,-1,-1,-1
324,JKR,324,237.5,259,271,257,267.5,224,299,220,313,227,283.5,227.5,-1,-1,-1,-1,-1,-1
325,JKR,325,265,248,284,249.5,284.5,218,297,225,305.5,234,289,228.5,-1,-1,-1,-1,-1,-1
326,JKR,326,265,243.5,286,246.5,283.5,214,297,222,306,229.5,289,224,-1,-1,-1,-1,-1,-1
327,JKR,327,254,245.5,279,246.5,279,214.5,296.5,222,309,229.5,285.5,224,-1,-1,-1,-1,-1,-1
328,JKR,328,221,264,257,263,253.5,229,289.5,238.5,305.5,244.5,272,241.5,-1,-1,-1,-1,-1,-1
329,JKR,329,229.5,257.5,260.5,264.5,264,231,291,243.5,305,255,276,243,-1,-1,-1,-1,-1,-1
330,JKR,330,271,246,292,260.5,307.5,230.5,323,245.5,329,260.5,311.5,240.5,-1,-1,-1,-1,-1,-1
331,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,JKR,332,255.5,310,287,308,282.5,274.5,311,270,324.5,274,296.5,276,-1,-1,-1,-1,-1,-1
333,JKR,333,293,321,-1,-1,306,284.5,311.5,275.5,318,279,307.5,283.5,-1,-1,-1,-1,-1,-1
334,JKR,334,292.5,320.5,-1,-1,303,286.5,311,275,318,278,308.5,283.5,-1,-1,-1,-1,-1,-1
335,JKR,335,272,325.5,300,320.5,298.5,289,320.5,279.5,331.5,284.5,308,289,-1,-1,-1,-1,-1,-1
336,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,JKR,342,286.5,340,315.5,336,309.5,305.5,334.5,294,347.5,295.5,323,302,-1,-1,-1,-1,-1,-1
343,JKR,343,284.5,342,313.5,337.5,310,306.5,333.5,294.5,348.5,299,321,303,-1,-1,-1,-1,-1,-1
344,JKR,344,286,344,314,337.5,309,309,333.5,295.5,345,299.5,321.5,305,-1,-1,-1,-1,-1,-1
345,JKR,345,286,343.5,314.5,338.5,308.5,309,333.5,295.5,344.5,299.5,322,304.5,-1,-1,-1,-1,-1,-1
